Year,Predicted Value,Predicted Value Lower,Predicted Value Upper
2024,248.71,193.28,309.57
2025,246.35,187.1,301.67
2026,240.98,186.49,301.88
2027,232.61,171.79,291.8
2028,265.38,211.94,322.22
2029,263.02,208.62,323.8
2030,257.65,198.33,314.65
2031,249.28,195.66,309.84
2032,282.05,223.84,337.16
2033,279.7,222.84,337.68
2034,274.33,217.5,332.89
2035,265.96,208.82,319.6
2036,298.73,240.38,355.88
2037,296.37,239.82,356.37
2038,291.0,230.0,348.38
2039,282.63,223.1,337.63
2040,315.4,259.62,376.91
2041,313.05,258.35,371.41
2042,307.67,252.14,367.33
2043,299.31,241.72,357.02
2044,332.08,276.92,389.3
2045,329.72,273.19,386.36
2046,324.35,267.53,383.56
2047,315.98,262.51,373.65
2048,348.75,289.47,401.67
2049,346.39,288.33,403.67
2050,341.02,282.23,396.38
2051,332.66,271.11,388.37
2052,365.43,305.34,415.86
2053,363.07,307.37,420.67
