Year,Predicted Value,Predicted Value Lower,Predicted Value Upper
2024,239.28,188.9,294.4
2025,252.22,201.5,303.41
2026,265.02,212.69,314.13
2027,277.66,226.87,328.42
2028,253.61,207.36,304.37
2029,266.56,214.85,316.5
2030,279.35,226.72,330.11
2031,291.99,240.13,344.89
2032,267.94,214.52,317.82
2033,280.89,231.91,334.11
2034,293.69,244.29,344.84
2035,306.32,255.81,360.47
2036,282.27,231.03,332.09
2037,295.22,247.06,347.14
2038,308.02,258.29,361.9
2039,320.65,269.07,368.7
2040,296.61,245.6,345.88
2041,309.55,255.26,360.8
2042,322.35,273.95,372.2
2043,334.99,281.6,382.79
2044,310.94,258.46,363.12
2045,323.89,274.16,375.16
2046,336.68,289.03,390.32
2047,349.32,302.06,400.17
2048,325.27,275.68,375.95
2049,338.22,289.42,390.7
2050,351.02,300.59,405.66
2051,363.65,314.13,413.29
2052,339.6,289.12,389.14
2053,352.55,302.63,404.58
