Year,Predicted Value,Predicted Value Lower,Predicted Value Upper
2024,589.24,460.21,703.33
2025,602.54,475.51,721.22
2026,615.02,491.36,734.37
2027,626.68,506.34,745.66
2028,640.62,521.1,755.86
2029,653.92,529.73,777.33
2030,666.4,547.42,792.98
2031,678.06,555.69,799.71
2032,692.0,567.28,809.2
2033,705.3,585.74,818.82
2034,717.78,599.87,831.86
2035,729.45,602.33,853.29
2036,743.38,624.26,862.13
2037,756.68,631.62,880.57
2038,769.16,642.58,891.48
2039,780.83,664.26,902.41
2040,794.77,674.1,911.14
2041,808.06,692.28,919.68
2042,820.54,706.54,940.75
2043,832.21,712.25,951.2
2044,846.15,727.74,966.83
2045,859.44,724.31,979.68
2046,871.92,744.37,990.97
2047,883.59,766.42,1012.42
2048,897.53,781.4,1019.77
2049,910.82,783.79,1024.79
2050,923.3,806.07,1042.26
2051,934.97,810.42,1061.64
2052,948.91,830.13,1077.57
2053,962.2,841.67,1071.86
