Year,Predicted Value,Predicted Value Lower,Predicted Value Upper
2024,638.93,498.66,760.81
2025,642.98,515.86,767.45
2026,642.71,510.58,770.64
2027,638.16,517.78,772.21
2028,699.27,575.27,828.64
2029,703.32,561.14,825.39
2030,703.06,577.56,834.92
2031,698.5,565.38,819.25
2032,759.61,603.2,882.18
2033,763.67,640.87,901.33
2034,763.4,641.96,893.41
2035,758.85,629.91,894.61
2036,819.96,682.16,945.54
2037,824.01,694.33,957.79
2038,823.75,699.5,950.11
2039,819.19,687.91,958.62
2040,880.3,752.48,1015.1
2041,884.35,757.75,1014.36
2042,884.09,756.07,1007.22
2043,879.54,748.87,1016.24
2044,940.65,813.26,1066.5
2045,944.7,823.39,1077.4
2046,944.43,820.72,1065.07
2047,939.88,806.53,1064.97
2048,1000.99,870.48,1126.09
2049,1005.04,876.05,1127.39
2050,1004.78,885.62,1136.31
2051,1000.22,874.18,1130.25
2052,1061.33,933.28,1185.58
2053,1065.38,942.03,1196.74
