Year,Predicted Value,Predicted Value Lower,Predicted Value Upper
2024,262.36,205.15,319.44
2025,264.41,200.27,323.43
2026,264.16,205.15,328.73
2027,261.62,198.47,322.34
2028,280.86,219.07,334.27
2029,282.9,222.05,344.24
2030,282.65,225.06,344.4
2031,280.11,217.96,343.46
2032,299.35,237.43,358.69
2033,301.39,242.23,362.2
2034,301.14,237.89,365.82
2035,298.61,239.17,359.2
2036,317.84,259.22,381.03
2037,319.89,257.33,383.4
2038,319.63,261.86,381.76
2039,317.1,258.91,376.56
2040,336.33,276.38,393.95
2041,338.38,278.23,395.5
2042,338.13,279.09,400.16
2043,335.59,278.14,397.94
2044,354.83,298.15,414.95
2045,356.87,296.79,415.82
2046,356.62,295.43,416.59
2047,354.08,295.7,412.92
2048,373.32,311.61,430.91
2049,375.36,313.63,431.78
2050,375.11,317.11,437.47
2051,372.58,312.53,435.05
2052,391.81,331.7,453.49
2053,393.86,338.12,456.22
