Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2014,2014,7021,Annual value,USD,194.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2015,2015,7021,Annual value,USD,173.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2016,2016,7021,Annual value,USD,175.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2017,2017,7021,Annual value,USD,161.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2018,2018,7021,Annual value,USD,186.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2019,2019,7021,Annual value,USD,178.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2020,2020,7021,Annual value,USD,187.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2021,2021,7021,Annual value,USD,262.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2022,2022,7021,Annual value,USD,325.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2023,2023,7021,Annual value,USD,246.2,A,Official figure
