ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-01-01,-193.662456,59.82094168296424,313.1120010956629,-193.662456,-193.662456,371.96150420000225,371.96150420000225,371.96150420000225,371.96150420000225,371.96150420000225,371.96150420000225,0.0,0.0,0.0,178.29904820000226
1995-01-01,-178.58688498413898,70.81968048165723,328.2192899290579,-178.58688498413898,-178.58688498413898,373.9805973258027,373.9805973258027,373.9805973258027,373.9805973258027,373.9805973258027,373.9805973258027,0.0,0.0,0.0,195.39371234166373
1996-01-01,-163.51131396410022,81.53621436288539,348.74869352465,-163.51131396410022,-163.51131396410022,371.6442673748771,371.6442673748771,371.6442673748771,371.6442673748771,371.6442673748771,371.6442673748771,0.0,0.0,0.0,208.13295341077685
1997-01-01,-148.3944400088976,94.29993592480417,342.1499754942128,-148.3944400088976,-148.3944400088976,365.5891688712731,365.5891688712731,365.5891688712731,365.5891688712731,365.5891688712731,365.5891688712731,0.0,0.0,0.0,217.1947288623755
1998-01-01,-133.31886899594718,106.05454300701818,360.21371672127447,-133.31886899594718,-133.31886899594718,371.96150419999833,371.96150419999833,371.96150419999833,371.96150419999833,371.96150419999833,371.96150419999833,0.0,0.0,0.0,238.64263520405115
1999-01-01,-118.2432979741661,123.35381296563881,384.1583451609257,-118.2432979741661,-118.2432979741661,373.9805973258038,373.9805973258038,373.9805973258038,373.9805973258038,373.9805973258038,373.9805973258038,0.0,0.0,0.0,255.7372993516377
2000-01-01,-103.16772694351906,134.15804364727995,389.7145657199677,-103.16772694351906,-103.16772694351906,371.64426737484376,371.64426737484376,371.64426737484376,371.64426737484376,371.64426737484376,371.64426737484376,0.0,0.0,0.0,268.4765404313247
2001-01-01,-88.05085298439803,143.45669498170756,399.60461314530244,-88.05085298439803,-88.05085298439803,365.589168871295,365.589168871295,365.589168871295,365.589168871295,365.589168871295,365.589168871295,0.0,0.0,0.0,277.53831588689695
2002-01-01,-72.97528196301424,173.76754908486652,424.23956556358434,-72.97528196301424,-72.97528196301424,371.96150420001624,371.96150420001624,371.96150420001624,371.96150420001624,371.96150420001624,371.96150420001624,0.0,0.0,0.0,298.986222237002
2003-01-01,-57.89971094693354,189.03414187478967,443.46747471194897,-57.89971094693354,-57.89971094693354,373.98059732580487,373.98059732580487,373.98059732580487,373.98059732580487,373.98059732580487,373.98059732580487,0.0,0.0,0.0,316.08088637887136
2004-01-01,-42.82413992890696,197.6160321294913,467.97526488752595,-42.82413992890696,-42.82413992890696,371.64426737489316,371.64426737489316,371.64426737489316,371.64426737489316,371.64426737489316,371.64426737489316,0.0,0.0,0.0,328.8201274459862
2005-01-01,-27.707265970479543,202.67156687714302,451.88425953192416,-27.707265970479543,-27.707265970479543,365.58916887131284,365.58916887131284,365.58916887131284,365.58916887131284,365.58916887131284,365.58916887131284,0.0,0.0,0.0,337.88190290083327
2006-01-01,-12.63169494053095,228.0985537251277,487.81958258643925,-12.63169494053095,-12.63169494053095,371.961504199999,371.961504199999,371.961504199999,371.961504199999,371.961504199999,371.961504199999,0.0,0.0,0.0,359.32980925946805
2007-01-01,2.443876087777022,238.79431942076428,504.5878188615042,2.443876087777022,2.443876087777022,373.9805973257977,373.9805973257977,373.9805973257977,373.9805973257977,373.9805973257977,373.9805973257977,0.0,0.0,0.0,376.42447341357473
2008-01-01,17.51944711587133,258.1836023214727,516.7327590177958,17.51944711587133,17.51944711587133,371.64426737485167,371.64426737485167,371.64426737485167,371.64426737485167,371.64426737485167,371.64426737485167,0.0,0.0,0.0,389.163714490723
2009-01-01,32.63632107566975,272.84170618686454,529.5645095520887,32.63632107566975,32.63632107566975,365.5891688712538,365.5891688712538,365.5891688712538,365.5891688712538,365.5891688712538,365.5891688712538,0.0,0.0,0.0,398.2254899469235
2010-01-01,47.71189209344005,294.87604880604977,551.5338323714211,47.71189209344005,47.71189209344005,371.96150420000515,371.96150420000515,371.96150420000515,371.96150420000515,371.96150420000515,371.96150420000515,0.0,0.0,0.0,419.6733962934452
2011-01-01,62.78746311671372,306.3427218442036,560.1905544441948,62.78746311671372,62.78746311671372,373.9805973258063,373.9805973258063,373.9805973258063,373.9805973258063,373.9805973258063,373.9805973258063,0.0,0.0,0.0,436.76806044252
2012-01-01,77.86303413295592,324.8249393690717,578.4191653191345,77.86303413295592,77.86303413295592,371.644267374862,371.644267374862,371.644267374862,371.644267374862,371.644267374862,371.644267374862,0.0,0.0,0.0,449.50730150781794
2013-01-01,92.97990807498206,332.9718409332752,581.3038948793046,92.97990807498206,92.97990807498206,365.58916887131966,365.58916887131966,365.58916887131966,365.58916887131966,365.58916887131966,365.58916887131966,0.0,0.0,0.0,458.5690769463017
2014-01-01,108.05547907353515,357.3887688244901,601.504922301442,108.05547907353515,108.05547907353515,371.9615042000348,371.9615042000348,371.9615042000348,371.9615042000348,371.9615042000348,371.9615042000348,0.0,0.0,0.0,480.01698327356996
2015-01-01,123.13105007686856,376.73913269125063,634.1720204867,123.13105007686856,123.13105007686856,373.9805973258006,373.9805973258006,373.9805973258006,373.9805973258006,373.9805973258006,373.9805973258006,0.0,0.0,0.0,497.1116474026692
2016-01-01,138.20662107504543,390.9148186936516,641.4807531843879,138.20662107504543,138.20662107504543,371.64426737487133,371.64426737487133,371.64426737487133,371.64426737487133,371.64426737487133,371.64426737487133,0.0,0.0,0.0,509.85088844991674
2017-01-01,153.32349501199613,393.10036991809864,648.1990299540581,153.32349501199613,153.32349501199613,365.5891688712542,365.5891688712542,365.5891688712542,365.5891688712542,365.5891688712542,365.5891688712542,0.0,0.0,0.0,518.9126638832503
2018-01-01,168.39906600671011,415.28519882880295,664.1413857100013,168.39906600671011,168.39906600671011,371.9615042000037,371.9615042000037,371.9615042000037,371.9615042000037,371.9615042000037,371.9615042000037,0.0,0.0,0.0,540.3605702067138
2019-01-01,183.47463700142407,426.8246909383593,679.5407290020311,183.47463700142407,183.47463700142407,373.98059732579236,373.98059732579236,373.98059732579236,373.98059732579236,373.98059732579236,373.98059732579236,0.0,0.0,0.0,557.4552343272164
2020-01-01,198.55020799613803,453.34900713817143,696.4301748164266,198.55020799613803,198.55020799613803,371.644267374862,371.644267374862,371.644267374862,371.644267374862,371.644267374862,371.644267374862,0.0,0.0,0.0,570.1944753710001
2021-01-01,213.66708192508412,460.34492739442925,713.4766938998645,213.66708192508412,213.66708192508412,365.58916887128026,365.58916887128026,365.58916887128026,365.58916887128026,365.58916887128026,365.58916887128026,0.0,0.0,0.0,579.2562507963644
2022-01-01,228.74265291979805,477.763902764569,720.5287880506887,228.74265291979805,228.74265291979805,371.96150420003914,371.96150420003914,371.96150420003914,371.96150420003914,371.96150420003914,371.96150420003914,0.0,0.0,0.0,600.7041571198372
2023-01-01,243.81822391451206,494.2842492725922,742.6937443500074,243.81822391451206,243.81822391451206,373.9805973258038,373.9805973258038,373.9805973258038,373.9805973258038,373.9805973258038,373.9805973258038,0.0,0.0,0.0,617.7988212403159
2023-12-31,258.85249197499394,449.67328758587604,698.7750776252889,258.85249179761297,258.8524921699049,318.96472270105704,318.96472270105704,318.96472270105704,318.96472270105704,318.96472270105704,318.96472270105704,0.0,0.0,0.0,577.817214676051
2024-12-31,273.96936590394,498.66090604740293,760.8082277385308,273.96936534987026,273.969366542105,364.957873924734,364.957873924734,364.957873924734,364.957873924734,364.957873924734,364.957873924734,0.0,0.0,0.0,638.9272398286739
2025-12-31,289.044936898654,515.8640865071367,767.4453481733339,289.044935737866,289.0449381687544,353.93430728801604,353.93430728801604,353.93430728801604,353.93430728801604,353.93430728801604,353.93430728801604,0.0,0.0,0.0,642.97924418667
2026-12-31,304.1205078933679,510.584970095029,770.6358394539036,304.12050590386286,304.1205097613469,338.59396616486265,338.59396616486265,338.59396616486265,338.59396616486265,338.59396616486265,338.59396616486265,0.0,0.0,0.0,642.7144740582305
2027-12-31,319.19607888808196,517.7777606107477,772.2134487461316,319.1960760068194,319.1960815389166,318.9647227012847,318.9647227012847,318.9647227012847,318.9647227012847,318.9647227012847,318.9647227012847,0.0,0.0,0.0,638.1608015893667
2028-12-31,334.3129528170281,575.2676945992185,828.641184935996,334.31294892971414,334.31295643767913,364.95787392471857,364.95787392471857,364.95787392471857,364.95787392471857,364.95787392471857,364.95787392471857,0.0,0.0,0.0,699.2708267417466
2029-12-31,349.388523811742,561.1366787320871,825.3906947707934,349.3885189070914,349.3885284486689,353.93430728788894,353.93430728788894,353.93430728788894,353.93430728788894,353.93430728788894,353.93430728788894,0.0,0.0,0.0,703.322831099631
2030-12-31,364.464094806456,577.5614680301201,834.9164635384475,364.46408875454995,364.464100452877,338.59396616479427,338.59396616479427,338.59396616479427,338.59396616479427,338.59396616479427,338.59396616479427,0.0,0.0,0.0,703.0580609712503
2031-12-31,379.5396658011699,565.3816920948249,819.2521363549401,379.539658692214,379.5396726559395,318.9647227008763,318.9647227008763,318.9647227008763,318.9647227008763,318.9647227008763,318.9647227008763,0.0,0.0,0.0,698.5043885020461
2032-12-31,394.656539730116,603.2041595828258,882.1833300277277,394.6565313658002,394.656547619646,364.9578739245811,364.9578739245811,364.9578739245811,364.9578739245811,364.9578739245811,364.9578739245811,0.0,0.0,0.0,759.614413654697
2033-12-31,409.73211072482985,640.8690962781734,901.3280239939612,409.7321010792902,409.73211979488883,353.93430728800814,353.93430728800814,353.93430728800814,353.93430728800814,353.93430728800814,353.93430728800814,0.0,0.0,0.0,763.666418012838
2034-12-31,424.80768171954395,641.955055792843,893.4086571080076,424.8076707804118,424.80769210938314,338.59396616456235,338.59396616456235,338.59396616456235,338.59396616456235,338.59396616456235,338.59396616456235,0.0,0.0,0.0,763.4016478841063
2035-12-31,439.88325271425805,629.9061091397036,894.6102616406575,439.88324048781436,439.8832643602476,318.96472270094074,318.96472270094074,318.96472270094074,318.96472270094074,318.96472270094074,318.96472270094074,0.0,0.0,0.0,758.8479754151988
2036-12-31,455.00012664320394,682.160331502189,945.5359552011387,455.00011299668387,455.00013944776714,364.9578739247508,364.9578739247508,364.9578739247508,364.9578739247508,364.9578739247508,364.9578739247508,0.0,0.0,0.0,819.9580005679547
