ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-01-01,-101.11370319999999,55.11614748097952,170.79114120281167,-101.11370319999999,-101.11370319999999,214.0711852400028,214.0711852400028,214.0711852400028,214.0711852400028,214.0711852400028,214.0711852400028,0.0,0.0,0.0,112.9574820400028
1995-01-01,-96.49375838901057,63.21315873394762,182.48541767040643,-96.49375838901057,-96.49375838901057,218.40857441955816,218.40857441955816,218.40857441955816,218.40857441955816,218.40857441955816,218.40857441955816,0.0,0.0,0.0,121.9148160305476
1996-01-01,-91.87381357618042,73.225347084009,190.08165369839003,-91.87381357618042,-91.87381357618042,220.441859388768,220.441859388768,220.441859388768,220.441859388768,220.441859388768,220.441859388768,0.0,0.0,0.0,128.56804581258757
1997-01-01,-87.24121137829263,63.69355986115,186.27955021442193,-87.24121137829263,-87.24121137829263,207.43491736631563,207.43491736631563,207.43491736631563,207.43491736631563,207.43491736631563,207.43491736631563,0.0,0.0,0.0,120.193705988023
1998-01-01,-82.62126656447714,75.416311748987,191.92022861877408,-82.62126656447714,-82.62126656447714,214.07118523999884,214.07118523999884,214.07118523999884,214.07118523999884,214.07118523999884,214.07118523999884,0.0,0.0,0.0,131.4499186755217
1999-01-01,-78.0013217501315,79.33953338616303,198.91918007473805,-78.0013217501315,-78.0013217501315,218.40857441955322,218.40857441955322,218.40857441955322,218.40857441955322,218.40857441955322,218.40857441955322,0.0,0.0,0.0,140.40725266942172
2000-01-01,-73.38137693652871,84.97505589406106,205.10806529685152,-73.38137693652871,-73.38137693652871,220.44185938877018,220.44185938877018,220.44185938877018,220.44185938877018,220.44185938877018,220.44185938877018,0.0,0.0,0.0,147.06048245224147
2001-01-01,-68.74877474101118,79.91343352709843,200.16738767946308,-68.74877474101118,-68.74877474101118,207.43491736633152,207.43491736633152,207.43491736633152,207.43491736633152,207.43491736633152,207.43491736633152,0.0,0.0,0.0,138.68614262532034
2002-01-01,-64.1288299291284,86.01890189536759,207.67438681081202,-64.1288299291284,-64.1288299291284,214.07118524002203,214.07118524002203,214.07118524002203,214.07118524002203,214.07118524002203,214.07118524002203,0.0,0.0,0.0,149.94235531089362
2003-01-01,-59.50888511704048,97.21594288589556,221.05181348046366,-59.50888511704048,-59.50888511704048,218.40857441957144,218.40857441957144,218.40857441957144,218.40857441957144,218.40857441957144,218.40857441957144,0.0,0.0,0.0,158.89968930253096
2004-01-01,-54.888940305318606,108.02605904108044,224.88944835493393,-54.888940305318606,-54.888940305318606,220.44185938876902,220.44185938876902,220.44185938876902,220.44185938876902,220.44185938876902,220.44185938876902,0.0,0.0,0.0,165.5529190834504
2005-01-01,-50.256338112204645,94.79071859415853,216.68703924011646,-50.256338112204645,-50.256338112204645,207.4349173663528,207.4349173663528,207.4349173663528,207.4349173663528,207.4349173663528,207.4349173663528,0.0,0.0,0.0,157.17857925414816
2006-01-01,-45.636393300981055,110.35298731805219,235.05144263556588,-45.636393300981055,-45.636393300981055,214.07118523999912,214.07118523999912,214.07118523999912,214.07118523999912,214.07118523999912,214.07118523999912,0.0,0.0,0.0,168.43479193901806
2007-01-01,-41.01644849082805,120.84303689010362,240.10773413345322,-41.01644849082805,-41.01644849082805,218.40857441955453,218.40857441955453,218.40857441955453,218.40857441955453,218.40857441955453,218.40857441955453,0.0,0.0,0.0,177.39212592872647
2008-01-01,-36.39650367912609,122.65867250336362,243.7567562688456,-36.39650367912609,-36.39650367912609,220.44185938876376,220.44185938876376,220.44185938876376,220.44185938876376,220.44185938876376,220.44185938876376,0.0,0.0,0.0,184.04535570963768
2009-01-01,-31.76390148374545,116.88542079658193,238.53278611923548,-31.76390148374545,-31.76390148374545,207.43491736630003,207.43491736630003,207.43491736630003,207.43491736630003,207.43491736630003,207.43491736630003,0.0,0.0,0.0,175.67101588255457
2010-01-01,-27.14395667166037,131.9733830118017,244.24147156165864,-27.14395667166037,-27.14395667166037,214.0711852400089,214.0711852400089,214.0711852400089,214.0711852400089,214.0711852400089,214.0711852400089,0.0,0.0,0.0,186.92722856834854
2011-01-01,-22.524011857731875,134.38326319462408,253.54527391132447,-22.524011857731875,-22.524011857731875,218.40857441956416,218.40857441956416,218.40857441956416,218.40857441956416,218.40857441956416,218.40857441956416,0.0,0.0,0.0,195.8845625618323
2012-01-01,-17.904067043007093,144.15073501351782,259.50871107518583,-17.904067043007093,-17.904067043007093,220.4418593887686,220.4418593887686,220.4418593887686,220.4418593887686,220.4418593887686,220.4418593887686,0.0,0.0,0.0,202.5377923457615
2013-01-01,-13.271464845395716,132.4904729825113,253.66619389329978,-13.271464845395716,-13.271464845395716,207.43491736635588,207.43491736635588,207.43491736635588,207.43491736635588,207.43491736635588,207.43491736635588,0.0,0.0,0.0,194.16345252096016
