Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2014,2014,7021,Annual value,USD,168.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2015,2015,7021,Annual value,USD,161.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2016,2016,7021,Annual value,USD,171.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2017,2017,7021,Annual value,USD,151.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2018,2018,7021,Annual value,USD,145.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2019,2019,7021,Annual value,USD,143.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2020,2020,7021,Annual value,USD,177.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2021,2021,7021,Annual value,USD,216.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2022,2022,7021,Annual value,USD,234,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2023,2023,7021,Annual value,USD,221.1,A,Official figure
