Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2014,2014,7021,Annual value,USD,435.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2015,2015,7021,Annual value,USD,404.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2016,2016,7021,Annual value,USD,400.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2017,2017,7021,Annual value,USD,384.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2018,2018,7021,Annual value,USD,388.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2019,2019,7021,Annual value,USD,389.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2020,2020,7021,Annual value,USD,412,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2021,2021,7021,Annual value,USD,622.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2022,2022,7021,Annual value,USD,712.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2023,2023,7021,Annual value,USD,467.5,A,Official figure
