Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),1994,1994,7021,Annual value,USD,162.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),1995,1995,7021,Annual value,USD,191.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),1996,1996,7021,Annual value,USD,159.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),1997,1997,7021,Annual value,USD,129.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),1998,1998,7021,Annual value,USD,122.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),1999,1999,7021,Annual value,USD,119.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2000,2000,7021,Annual value,USD,95.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2001,2001,7021,Annual value,USD,94.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2002,2002,7021,Annual value,USD,93.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2003,2003,7021,Annual value,USD,149,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2004,2004,7021,Annual value,USD,116.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2005,2005,7021,Annual value,USD,128.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2006,2006,7021,Annual value,USD,164.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2007,2007,7021,Annual value,USD,256.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2008,2008,7021,Annual value,USD,180.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2009,2009,7021,Annual value,USD,170.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2010,2010,7021,Annual value,USD,247,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2011,2011,7021,Annual value,USD,259.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2012,2012,7021,Annual value,USD,276.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2013,2013,7021,Annual value,USD,227.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2014,2014,7021,Annual value,USD,194.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2015,2015,7021,Annual value,USD,173.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2016,2016,7021,Annual value,USD,175.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2017,2017,7021,Annual value,USD,161.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2018,2018,7021,Annual value,USD,186.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2019,2019,7021,Annual value,USD,178.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2020,2020,7021,Annual value,USD,187.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2021,2021,7021,Annual value,USD,262.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2022,2022,7021,Annual value,USD,325.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),56,Maize (corn),2023,2023,7021,Annual value,USD,246.2,A,Official figure
