Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,1994,1994,7021,Annual value,USD,125.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,1995,1995,7021,Annual value,USD,146.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,1996,1996,7021,Annual value,USD,150,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,1997,1997,7021,Annual value,USD,125,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,1998,1998,7021,Annual value,USD,99.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,1999,1999,7021,Annual value,USD,88.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2000,2000,7021,Annual value,USD,96.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2001,2001,7021,Annual value,USD,108.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2002,2002,7021,Annual value,USD,80.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2003,2003,7021,Annual value,USD,94.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2004,2004,7021,Annual value,USD,98.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2005,2005,7021,Annual value,USD,105.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2006,2006,7021,Annual value,USD,131.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2007,2007,7021,Annual value,USD,232.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2008,2008,7021,Annual value,USD,209.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2009,2009,7021,Annual value,USD,118.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2010,2010,7021,Annual value,USD,174,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2011,2011,7021,Annual value,USD,250.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2012,2012,7021,Annual value,USD,267,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2013,2013,7021,Annual value,USD,184.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2014,2014,7021,Annual value,USD,168.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2015,2015,7021,Annual value,USD,161.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2016,2016,7021,Annual value,USD,171.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2017,2017,7021,Annual value,USD,151.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2018,2018,7021,Annual value,USD,145.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2019,2019,7021,Annual value,USD,143.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2020,2020,7021,Annual value,USD,177.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2021,2021,7021,Annual value,USD,216.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2022,2022,7021,Annual value,USD,234,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),75,Oats,2023,2023,7021,Annual value,USD,221.1,A,Official figure
