Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,1994,1994,7021,Annual value,USD,236,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,1995,1995,7021,Annual value,USD,231,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,1996,1996,7021,Annual value,USD,262.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,1997,1997,7021,Annual value,USD,246.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,1998,1998,7021,Annual value,USD,240,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,1999,1999,7021,Annual value,USD,175,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2000,2000,7021,Annual value,USD,170.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2001,2001,7021,Annual value,USD,190.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2002,2002,7021,Annual value,USD,208.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2003,2003,7021,Annual value,USD,252.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2004,2004,7021,Annual value,USD,252.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2005,2005,7021,Annual value,USD,253.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2006,2006,7021,Annual value,USD,296.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2007,2007,7021,Annual value,USD,431.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2008,2008,7021,Annual value,USD,495.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2009,2009,7021,Annual value,USD,369.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2010,2010,7021,Annual value,USD,519.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2011,2011,7021,Annual value,USD,606,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2012,2012,7021,Annual value,USD,612.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2013,2013,7021,Annual value,USD,501.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2014,2014,7021,Annual value,USD,435.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2015,2015,7021,Annual value,USD,404.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2016,2016,7021,Annual value,USD,400.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2017,2017,7021,Annual value,USD,384.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2018,2018,7021,Annual value,USD,388.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2019,2019,7021,Annual value,USD,389.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2020,2020,7021,Annual value,USD,412,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2021,2021,7021,Annual value,USD,622.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2022,2022,7021,Annual value,USD,712.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),270,Rape or colza seed,2023,2023,7021,Annual value,USD,467.5,A,Official figure
