Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,1994,1994,7021,Annual value,USD,237.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,1995,1995,7021,Annual value,USD,268.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,1996,1996,7021,Annual value,USD,242.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,1997,1997,7021,Annual value,USD,230.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,1998,1998,7021,Annual value,USD,231.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,1999,1999,7021,Annual value,USD,199.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2000,2000,7021,Annual value,USD,171.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2001,2001,7021,Annual value,USD,215,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2002,2002,7021,Annual value,USD,237.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2003,2003,7021,Annual value,USD,248,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2004,2004,7021,Annual value,USD,264.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2005,2005,7021,Annual value,USD,268.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2006,2006,7021,Annual value,USD,283,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2007,2007,7021,Annual value,USD,558.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2008,2008,7021,Annual value,USD,449.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2009,2009,7021,Annual value,USD,365.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2010,2010,7021,Annual value,USD,559.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2011,2011,7021,Annual value,USD,593.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2012,2012,7021,Annual value,USD,624.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2013,2013,7021,Annual value,USD,481,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2014,2014,7021,Annual value,USD,491.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2015,2015,7021,Annual value,USD,433.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2016,2016,7021,Annual value,USD,427,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2017,2017,7021,Annual value,USD,400.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2018,2018,7021,Annual value,USD,420.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2019,2019,7021,Annual value,USD,411.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2020,2020,7021,Annual value,USD,479.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2021,2021,7021,Annual value,USD,719.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2022,2022,7021,Annual value,USD,806,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2023,2023,7021,Annual value,USD,561.7,A,Official figure
