Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,1994,1994,7021,Annual value,USD,149.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,1995,1995,7021,Annual value,USD,169.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,1996,1996,7021,Annual value,USD,161.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,1997,1997,7021,Annual value,USD,132.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,1998,1998,7021,Annual value,USD,118.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,1999,1999,7021,Annual value,USD,115,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2000,2000,7021,Annual value,USD,93.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2001,2001,7021,Annual value,USD,96.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2002,2002,7021,Annual value,USD,91.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2003,2003,7021,Annual value,USD,129.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2004,2004,7021,Annual value,USD,119.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2005,2005,7021,Annual value,USD,116.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2006,2006,7021,Annual value,USD,152.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2007,2007,7021,Annual value,USD,259.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2008,2008,7021,Annual value,USD,212.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2009,2009,7021,Annual value,USD,155.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2010,2010,7021,Annual value,USD,246.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2011,2011,7021,Annual value,USD,268.7,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2012,2012,7021,Annual value,USD,285.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2013,2013,7021,Annual value,USD,244.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2014,2014,7021,Annual value,USD,216.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2015,2015,7021,Annual value,USD,172.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2016,2016,7021,Annual value,USD,159.9,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2017,2017,7021,Annual value,USD,158,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2018,2018,7021,Annual value,USD,195.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2019,2019,7021,Annual value,USD,183.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2020,2020,7021,Annual value,USD,200.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2021,2021,7021,Annual value,USD,259.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2022,2022,7021,Annual value,USD,328.4,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),15,Wheat,2023,2023,7021,Annual value,USD,239.7,A,Official figure
