Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2014,2014,7021,Annual value,USD,491.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2015,2015,7021,Annual value,USD,433.1,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2016,2016,7021,Annual value,USD,427,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2017,2017,7021,Annual value,USD,400.2,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2018,2018,7021,Annual value,USD,420.6,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2019,2019,7021,Annual value,USD,411.8,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2020,2020,7021,Annual value,USD,479.3,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2021,2021,7021,Annual value,USD,719.5,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2022,2022,7021,Annual value,USD,806,A,Official figure
PP,Producer Prices,68,France,5532,Producer Price (USD/tonne),267,Sunflower seed,2023,2023,7021,Annual value,USD,561.7,A,Official figure
